Date,Year,Quarter,Year_Quarter,Month_Num,Month_Name,Year_Month,Week_Num,Day,Weekday,Is_Weekend
2014-01-01,2014,Q1,2014-Q1,1,January,2014-01,1,1,Wednesday,0
2014-01-02,2014,Q1,2014-Q1,1,January,2014-01,1,2,Thursday,0
2014-01-03,2014,Q1,2014-Q1,1,January,2014-01,1,3,Friday,0
2014-01-04,2014,Q1,2014-Q1,1,January,2014-01,1,4,Saturday,1
2014-01-05,2014,Q1,2014-Q1,1,January,2014-01,1,5,Sunday,1
2014-01-06,2014,Q1,2014-Q1,1,January,2014-01,2,6,Monday,0
2014-01-07,2014,Q1,2014-Q1,1,January,2014-01,2,7,Tuesday,0
2014-01-08,2014,Q1,2014-Q1,1,January,2014-01,2,8,Wednesday,0
2014-01-09,2014,Q1,2014-Q1,1,January,2014-01,2,9,Thursday,0
2014-01-10,2014,Q1,2014-Q1,1,January,2014-01,2,10,Friday,0
2014-01-11,2014,Q1,2014-Q1,1,January,2014-01,2,11,Saturday,1
2014-01-12,2014,Q1,2014-Q1,1,January,2014-01,2,12,Sunday,1
2014-01-13,2014,Q1,2014-Q1,1,January,2014-01,3,13,Monday,0
2014-01-14,2014,Q1,2014-Q1,1,January,2014-01,3,14,Tuesday,0
2014-01-15,2014,Q1,2014-Q1,1,January,2014-01,3,15,Wednesday,0
2014-01-16,2014,Q1,2014-Q1,1,January,2014-01,3,16,Thursday,0
2014-01-17,2014,Q1,2014-Q1,1,January,2014-01,3,17,Friday,0
2014-01-18,2014,Q1,2014-Q1,1,January,2014-01,3,18,Saturday,1
2014-01-19,2014,Q1,2014-Q1,1,January,2014-01,3,19,Sunday,1
2014-01-20,2014,Q1,2014-Q1,1,January,2014-01,4,20,Monday,0
2014-01-21,2014,Q1,2014-Q1,1,January,2014-01,4,21,Tuesday,0
2014-01-22,2014,Q1,2014-Q1,1,January,2014-01,4,22,Wednesday,0
2014-01-23,2014,Q1,2014-Q1,1,January,2014-01,4,23,Thursday,0
2014-01-24,2014,Q1,2014-Q1,1,January,2014-01,4,24,Friday,0
2014-01-25,2014,Q1,2014-Q1,1,January,2014-01,4,25,Saturday,1
2014-01-26,2014,Q1,2014-Q1,1,January,2014-01,4,26,Sunday,1
2014-01-27,2014,Q1,2014-Q1,1,January,2014-01,5,27,Monday,0
2014-01-28,2014,Q1,2014-Q1,1,January,2014-01,5,28,Tuesday,0
2014-01-29,2014,Q1,2014-Q1,1,January,2014-01,5,29,Wednesday,0
2014-01-30,2014,Q1,2014-Q1,1,January,2014-01,5,30,Thursday,0
2014-01-31,2014,Q1,2014-Q1,1,January,2014-01,5,31,Friday,0
2014-02-01,2014,Q1,2014-Q1,2,February,2014-02,5,1,Saturday,1
2014-02-02,2014,Q1,2014-Q1,2,February,2014-02,5,2,Sunday,1
2014-02-03,2014,Q1,2014-Q1,2,February,2014-02,6,3,Monday,0
2014-02-04,2014,Q1,2014-Q1,2,February,2014-02,6,4,Tuesday,0
2014-02-05,2014,Q1,2014-Q1,2,February,2014-02,6,5,Wednesday,0
2014-02-06,2014,Q1,2014-Q1,2,February,2014-02,6,6,Thursday,0
2014-02-07,2014,Q1,2014-Q1,2,February,2014-02,6,7,Friday,0
2014-02-08,2014,Q1,2014-Q1,2,February,2014-02,6,8,Saturday,1
2014-02-09,2014,Q1,2014-Q1,2,February,2014-02,6,9,Sunday,1
2014-02-10,2014,Q1,2014-Q1,2,February,2014-02,7,10,Monday,0
2014-02-11,2014,Q1,2014-Q1,2,February,2014-02,7,11,Tuesday,0
2014-02-12,2014,Q1,2014-Q1,2,February,2014-02,7,12,Wednesday,0
2014-02-13,2014,Q1,2014-Q1,2,February,2014-02,7,13,Thursday,0
2014-02-14,2014,Q1,2014-Q1,2,February,2014-02,7,14,Friday,0
2014-02-15,2014,Q1,2014-Q1,2,February,2014-02,7,15,Saturday,1
